"ai_tool","primary_use_case","total_users","avg_productivity_gain_pct","rate_productivity","avg_hours_saved_weekly","user_level"
"HeyGen","Video Creation","365","77.56","0.18","9.23","Intermediate"
"Perplexity AI","Customer Support","374","77.53","0.19","9.33","Intermediate"
"Elicit","Customer Support","370","77.52","0.18","9.36","Intermediate"
"Runway ML","Video Creation","362","77.52","0.18","9.45","Intermediate"
"Notion AI","Customer Support","354","77.51","0.18","9.29","Intermediate"
"Qwen","Customer Support","350","77.50","0.17","9.66","Intermediate"
"GPT-4","Video Creation","380","77.48","0.19","10.48","Intermediate"
"GPT-5","Video Creation","351","77.47","0.18","9.19","Intermediate"
"IBM Watson","Automation","387","77.47","0.19","9.52","Intermediate"
"Khanmigo","Automation","322","77.44","0.16","9.11","Beginner"
"Midjourney","Research","379","77.43","0.19","9.34","Intermediate"
"LangChain","Research","375","77.42","0.19","10.50","Intermediate"
"Mistral","Automation","390","77.42","0.19","10.75","Intermediate"
"Gemini","Content Writing","346","77.41","0.17","9.35","Intermediate"
"Tabnine","Coding","399","77.40","0.20","9.43","Intermediate"
"Elicit","Translation","360","77.39","0.18","9.20","Intermediate"
"Tableau AI","Customer Support","350","77.39","0.17","9.46","Intermediate"
"Stable Diffusion","Learning","349","77.39","0.17","8.72","Intermediate"
"Midjourney","Video Creation","370","77.38","0.18","10.47","Intermediate"
"GrammarlyGO","Learning","365","77.38","0.18","9.92","Intermediate"
"LLaMA","Translation","383","77.36","0.19","12.37","Intermediate"
"Microsoft Copilot","Content Writing","383","77.36","0.19","9.04","Intermediate"
"LangChain","Translation","402","77.36","0.20","9.71","Intermediate"
"Mistral","Research","405","77.34","0.20","9.38","Intermediate"
"Cursor AI","Customer Support","373","77.33","0.19","8.78","Intermediate"
"Notion AI","Learning","376","77.33","0.19","9.19","Intermediate"
"Kensho","Customer Support","358","77.32","0.18","10.29","Intermediate"
"Gemini","Automation","348","77.32","0.17","9.90","Intermediate"
"Qwen","Coding","336","77.31","0.17","8.81","Intermediate"
"Boston Dynamics AI","Content Writing","358","77.29","0.18","9.57","Intermediate"
"ElevenLabs","Customer Support","390","77.29","0.19","7.48","Intermediate"
"TensorFlow","Learning","345","77.28","0.17","9.55","Intermediate"
"Figma AI","Video Creation","350","77.24","0.17","8.46","Intermediate"
"Tesla Optimus","Coding","375","77.24","0.19","10.66","Intermediate"
"Falcon","Research","350","77.23","0.17","9.87","Intermediate"
"Mistral","Customer Support","394","77.23","0.20","10.59","Intermediate"
"Whisper","Research","370","77.22","0.18","10.04","Intermediate"
"Copy.ai","Content Writing","336","77.20","0.17","8.58","Intermediate"
"Hugging Face","Translation","375","77.20","0.19","9.89","Intermediate"
"Devin","Learning","349","77.19","0.17","10.12","Intermediate"
"Codeium","Coding","334","77.15","0.17","10.09","Intermediate"
"Boston Dynamics AI","Design","357","77.14","0.18","6.83","Intermediate"
"AlphaFold","Content Writing","385","77.13","0.19","10.07","Intermediate"
"GPT-5","Customer Support","357","77.13","0.18","9.51","Intermediate"
"Whisper","Learning","362","77.13","0.18","9.03","Intermediate"
"Perplexity AI","Data Analysis","384","77.12","0.19","10.36","Intermediate"
"Hugging Face","Learning","410","77.12","0.20","8.43","Intermediate"
"Tabnine","Marketing","353","77.12","0.18","9.46","Intermediate"
"GitHub Copilot","Research","400","77.11","0.20","8.95","Intermediate"
"Deepgram","Coding","361","77.10","0.18","9.97","Intermediate"
"Power BI Copilot","Research","364","77.10","0.18","8.77","Intermediate"
"Copy.ai","Coding","334","77.09","0.17","8.82","Intermediate"
"LangChain","Coding","383","77.08","0.19","9.80","Intermediate"
"Elicit","Data Analysis","359","77.08","0.18","10.73","Intermediate"
"Hugging Face","Automation","360","77.08","0.18","10.63","Intermediate"
"HeyGen","Research","356","77.07","0.18","9.30","Intermediate"
"ElevenLabs","Translation","382","77.07","0.19","9.59","Intermediate"
"Gemini","Video Creation","376","77.07","0.19","10.11","Intermediate"
"GPT-4","Research","359","77.06","0.18","11.61","Intermediate"
"Copy.ai","Design","351","77.05","0.17","10.34","Intermediate"
"Kensho","Research","400","77.03","0.20","10.53","Intermediate"
"ElevenLabs","Design","382","77.03","0.19","9.41","Intermediate"
"Notion AI","Automation","339","77.02","0.17","8.60","Intermediate"
"TensorFlow","Design","328","77.01","0.16","9.42","Beginner"
"Claude","Marketing","405","77.01","0.20","11.03","Intermediate"
"Falcon","Automation","384","77.00","0.19","8.15","Intermediate"
"DALL-E","Design","361","76.98","0.18","10.14","Intermediate"
"DeepSeek","Data Analysis","418","76.95","0.21","7.94","Expert"
"Codeium","Design","366","76.95","0.18","9.93","Intermediate"
"AutoGPT","Customer Support","376","76.94","0.19","9.01","Intermediate"
"Hugging Face","Content Writing","335","76.93","0.17","8.99","Intermediate"
"GitHub Copilot","Automation","359","76.91","0.18","9.02","Intermediate"
"HeyGen","Content Writing","357","76.90","0.18","9.68","Intermediate"
"Cursor AI","Video Creation","352","76.89","0.17","10.86","Intermediate"
"ElevenLabs","Video Creation","380","76.89","0.19","7.58","Intermediate"
"GPT-4","Marketing","344","76.89","0.17","9.93","Intermediate"
"Claude","Coding","356","76.86","0.18","10.89","Intermediate"
"HeyGen","Design","354","76.84","0.18","9.75","Intermediate"
"Notion AI","Coding","351","76.84","0.17","9.51","Intermediate"
"BloombergGPT","Design","348","76.83","0.17","10.25","Intermediate"
"Codeium","Learning","345","76.81","0.17","9.63","Intermediate"
"Synthesia","Content Writing","361","76.81","0.18","9.13","Intermediate"
"Notion AI","Video Creation","361","76.81","0.18","9.34","Intermediate"
"Claude","Research","356","76.81","0.18","9.06","Intermediate"
"PyTorch","Research","340","76.80","0.17","10.22","Intermediate"
"Perplexity AI","Video Creation","359","76.80","0.18","8.92","Intermediate"
"Copy.ai","Automation","377","76.80","0.19","11.09","Intermediate"
"GPT-4","Coding","363","76.79","0.18","10.40","Intermediate"
"Cursor AI","Content Writing","340","76.77","0.17","8.80","Intermediate"
"GitHub Copilot","Customer Support","335","76.76","0.17","7.98","Intermediate"
"DataRobot","Coding","364","76.75","0.18","8.35","Intermediate"
"Mistral","Learning","377","76.75","0.19","9.44","Intermediate"
"Stable Diffusion","Marketing","372","76.74","0.18","10.33","Intermediate"
"Kensho","Learning","358","76.73","0.18","8.59","Intermediate"
"Hugging Face","Marketing","336","76.70","0.17","8.13","Intermediate"
"Devin","Data Analysis","390","76.70","0.19","8.69","Intermediate"
"AlphaFold","Automation","367","76.68","0.18","9.49","Intermediate"
"BloombergGPT","Customer Support","351","76.67","0.17","9.65","Intermediate"
"DataRobot","Video Creation","390","76.66","0.19","8.85","Intermediate"
"Power BI Copilot","Automation","372","76.65","0.18","10.35","Intermediate"
"Runway ML","Marketing","359","76.61","0.18","8.37","Intermediate"
"ElevenLabs","Automation","370","76.61","0.18","8.99","Intermediate"
"Kensho","Coding","342","76.59","0.17","8.03","Intermediate"
"Qwen","Video Creation","412","76.59","0.20","9.61","Intermediate"
"Synthesia","Customer Support","356","76.57","0.18","8.97","Intermediate"
"Stable Diffusion","Automation","347","76.57","0.17","9.01","Intermediate"
"Grok","Customer Support","352","76.56","0.17","9.70","Intermediate"
"Qwen","Content Writing","342","76.56","0.17","9.26","Intermediate"
"Mistral","Content Writing","365","76.55","0.18","9.24","Intermediate"
"Power BI Copilot","Customer Support","348","76.54","0.17","10.35","Intermediate"
"Cohere","Data Analysis","329","76.53","0.16","8.01","Beginner"
"Cohere","Video Creation","359","76.50","0.18","8.24","Intermediate"
"DataRobot","Customer Support","388","76.46","0.19","9.89","Intermediate"
"Kensho","Video Creation","396","76.44","0.20","10.20","Intermediate"
"PyTorch","Coding","386","76.44","0.19","8.69","Intermediate"
"Duolingo Max","Learning","342","76.44","0.17","9.62","Intermediate"
"Elicit","Research","327","76.43","0.16","8.05","Beginner"
"Cohere","Design","346","76.43","0.17","10.10","Intermediate"
"GitHub Copilot","Content Writing","381","76.43","0.19","8.07","Intermediate"
"Elicit","Marketing","351","76.42","0.17","8.72","Intermediate"
"AlphaFold","Translation","369","76.35","0.18","10.47","Intermediate"
"Stable Diffusion","Translation","349","76.32","0.17","8.82","Intermediate"
"Runway ML","Design","370","76.26","0.18","9.12","Intermediate"
"Elicit","Content Writing","358","76.26","0.18","8.91","Intermediate"
"Figma AI","Content Writing","392","76.26","0.19","9.80","Intermediate"
"PyTorch","Video Creation","366","76.25","0.18","8.89","Intermediate"
"Boston Dynamics AI","Learning","354","76.24","0.17","10.15","Intermediate"
"Deepgram","Design","339","76.22","0.17","10.27","Intermediate"
"DALL-E","Marketing","352","76.20","0.17","10.10","Intermediate"
"Notion AI","Content Writing","359","76.16","0.18","9.04","Intermediate"
"GPT-4","Learning","355","76.15","0.17","8.46","Intermediate"
"Power BI Copilot","Marketing","370","76.15","0.18","8.92","Intermediate"
"Midjourney","Automation","364","76.12","0.18","9.32","Intermediate"
"TensorFlow","Content Writing","403","76.12","0.20","10.37","Intermediate"
"Copy.ai","Video Creation","379","76.12","0.19","10.21","Intermediate"
"Tableau AI","Video Creation","348","76.08","0.17","10.42","Intermediate"
"ElevenLabs","Data Analysis","336","76.08","0.16","10.43","Beginner"
"GrammarlyGO","Coding","321","76.03","0.16","9.42","Beginner"
"GrammarlyGO","Customer Support","360","76.02","0.18","8.33","Intermediate"
"LangChain","Design","346","76.01","0.17","10.26","Intermediate"
"Canva AI","Automation","382","75.99","0.19","9.67","Intermediate"
"AutoGPT","Research","361","75.99","0.18","9.27","Intermediate"
"DeepSeek","Video Creation","393","75.98","0.19","9.53","Intermediate"
"Midjourney","Coding","348","75.98","0.17","8.46","Intermediate"
"Deepgram","Customer Support","356","75.96","0.17","8.14","Intermediate"
"Falcon","Video Creation","376","75.96","0.18","8.66","Intermediate"
"Perplexity AI","Content Writing","385","75.95","0.19","8.53","Intermediate"
"AutoGPT","Marketing","366","75.95","0.18","9.61","Intermediate"
"Microsoft Copilot","Customer Support","374","75.93","0.18","10.53","Intermediate"
"Falcon","Translation","339","75.93","0.17","7.99","Intermediate"
"DALL-E","Research","352","75.93","0.17","8.10","Intermediate"
"BloombergGPT","Coding","376","75.91","0.18","9.07","Intermediate"
"Duolingo Max","Content Writing","370","75.90","0.18","8.53","Intermediate"
"GPT-5","Automation","387","75.89","0.19","8.95","Intermediate"
"Grok","Learning","400","75.89","0.20","7.64","Intermediate"
"PyTorch","Automation","382","75.87","0.19","10.04","Intermediate"
"Elicit","Coding","361","75.85","0.18","9.87","Intermediate"
"Midjourney","Customer Support","355","75.84","0.17","9.00","Intermediate"
"Gemini","Marketing","349","75.80","0.17","9.60","Intermediate"
"PyTorch","Customer Support","341","75.79","0.17","9.39","Intermediate"
"Kensho","Content Writing","297","75.79","0.15","8.59","Beginner"
"Cursor AI","Data Analysis","384","75.78","0.19","9.90","Intermediate"
"Tableau AI","Design","363","75.77","0.18","10.12","Intermediate"
"Cursor AI","Design","366","75.74","0.18","8.14","Intermediate"
"LLaMA","Coding","349","75.73","0.17","9.73","Intermediate"
"Cursor AI","Marketing","353","75.73","0.17","9.25","Intermediate"
"IBM Watson","Research","391","75.71","0.19","7.95","Intermediate"
"ElevenLabs","Coding","364","75.71","0.18","9.08","Intermediate"
"Claude","Translation","354","75.71","0.17","9.52","Intermediate"
"LLaMA","Content Writing","402","75.71","0.20","8.72","Intermediate"
"Figma AI","Marketing","358","75.70","0.17","10.00","Intermediate"
"Boston Dynamics AI","Customer Support","406","75.68","0.20","10.61","Intermediate"
"LangChain","Customer Support","402","75.68","0.20","9.42","Intermediate"
"Tesla Optimus","Data Analysis","376","75.66","0.18","9.86","Intermediate"
"GrammarlyGO","Content Writing","354","75.61","0.17","10.83","Intermediate"
"Tableau AI","Coding","384","75.59","0.19","9.96","Intermediate"
"PyTorch","Design","322","75.58","0.16","9.86","Beginner"
"Devin","Automation","325","75.54","0.16","7.97","Beginner"
"DALL-E","Learning","371","75.52","0.18","9.80","Intermediate"
"Notion AI","Design","390","75.51","0.19","9.44","Intermediate"
"Boston Dynamics AI","Data Analysis","332","75.48","0.16","9.68","Beginner"
"Kensho","Marketing","354","75.47","0.17","9.41","Intermediate"
"Deepgram","Translation","381","75.41","0.19","10.97","Intermediate"
"Perplexity AI","Design","361","75.40","0.18","7.52","Intermediate"
"Gemini","Data Analysis","339","75.39","0.16","9.59","Beginner"
"Duolingo Max","Video Creation","373","75.39","0.18","8.97","Intermediate"
"Microsoft Copilot","Automation","321","75.38","0.16","11.16","Beginner"
"DALL-E","Video Creation","369","75.37","0.18","10.33","Intermediate"
"Synthesia","Translation","356","75.33","0.17","9.11","Intermediate"
"Runway ML","Customer Support","369","75.33","0.18","9.36","Intermediate"
"Jasper","Automation","346","75.30","0.17","8.61","Intermediate"
"GrammarlyGO","Video Creation","358","75.26","0.17","9.50","Intermediate"
"GPT-5","Translation","386","75.25","0.19","8.71","Intermediate"
"Microsoft Copilot","Translation","346","75.24","0.17","8.64","Intermediate"
"Tabnine","Data Analysis","353","75.20","0.17","9.92","Intermediate"
"Devin","Research","350","75.19","0.17","10.19","Intermediate"
"Tesla Optimus","Automation","396","75.17","0.19","9.80","Intermediate"
"LangChain","Data Analysis","349","75.14","0.17","12.40","Intermediate"
"Notion AI","Data Analysis","340","75.11","0.16","10.26","Beginner"
"Whisper","Video Creation","345","75.10","0.17","10.53","Intermediate"
"Synthesia","Design","395","75.03","0.19","10.24","Intermediate"
"Synthesia","Data Analysis","372","75.03","0.18","8.87","Intermediate"
"Runway ML","Translation","385","75.00","0.19","10.75","Intermediate"
"DataRobot","Automation","364","74.99","0.18","9.94","Intermediate"
"LangChain","Automation","379","74.98","0.18","9.44","Intermediate"
"GPT-5","Marketing","394","74.96","0.19","8.60","Intermediate"
"Figma AI","Translation","376","74.95","0.18","8.84","Intermediate"
"DeepSeek","Customer Support","388","74.93","0.19","10.06","Intermediate"
"Boston Dynamics AI","Coding","361","74.93","0.17","7.80","Intermediate"
"Midjourney","Content Writing","336","74.92","0.16","10.59","Beginner"
"IBM Watson","Video Creation","341","74.92","0.16","10.57","Beginner"
"AutoGPT","Data Analysis","361","74.91","0.17","9.69","Intermediate"
"Falcon","Marketing","391","74.87","0.19","9.58","Intermediate"
"Codeium","Data Analysis","361","74.86","0.17","8.52","Intermediate"
"ElevenLabs","Content Writing","388","74.86","0.19","9.33","Intermediate"
"Tabnine","Automation","368","74.84","0.18","8.40","Intermediate"
"BloombergGPT","Learning","351","74.80","0.17","10.50","Intermediate"
"BloombergGPT","Marketing","384","74.79","0.19","9.24","Intermediate"
"DALL-E","Content Writing","317","74.79","0.15","10.85","Beginner"
"Kensho","Design","340","74.78","0.16","9.15","Beginner"
"Runway ML","Learning","375","74.75","0.18","10.21","Intermediate"
"TensorFlow","Marketing","367","74.73","0.18","7.99","Intermediate"
"Qwen","Automation","354","74.71","0.17","10.65","Intermediate"
"Codeium","Translation","391","74.67","0.19","6.54","Intermediate"
"Synthesia","Research","375","74.66","0.18","7.74","Intermediate"
"Boston Dynamics AI","Research","376","74.66","0.18","8.24","Intermediate"
"Power BI Copilot","Video Creation","356","74.66","0.17","8.11","Intermediate"
"Canva AI","Data Analysis","353","74.60","0.17","10.08","Intermediate"
"Hugging Face","Coding","374","74.60","0.18","9.05","Intermediate"
"Canva AI","Video Creation","378","74.60","0.18","10.53","Intermediate"
"GitHub Copilot","Translation","395","74.59","0.19","9.33","Intermediate"
"Figma AI","Customer Support","371","74.59","0.18","10.19","Intermediate"
"Synthesia","Learning","366","74.57","0.18","8.96","Intermediate"
"Notion AI","Research","322","74.56","0.15","9.50","Beginner"
"DeepSeek","Automation","371","74.49","0.18","7.70","Intermediate"
"Perplexity AI","Research","375","74.48","0.18","8.78","Intermediate"
"Claude","Customer Support","372","74.42","0.18","8.52","Intermediate"
"BloombergGPT","Data Analysis","365","74.33","0.17","10.32","Intermediate"
"ElevenLabs","Marketing","360","74.32","0.17","9.09","Intermediate"
"Jasper","Translation","347","74.29","0.17","10.00","Intermediate"
"Whisper","Translation","343","74.29","0.16","8.78","Beginner"
"Tableau AI","Research","362","74.20","0.17","10.52","Intermediate"
"LLaMA","Research","350","74.19","0.17","10.67","Intermediate"
"Midjourney","Data Analysis","385","74.19","0.18","9.42","Intermediate"
"Cohere","Coding","335","74.18","0.16","11.11","Beginner"
"Copy.ai","Research","356","74.18","0.17","9.01","Intermediate"
"HeyGen","Marketing","366","74.17","0.17","9.27","Intermediate"
"Midjourney","Translation","357","74.10","0.17","10.85","Intermediate"
"Devin","Video Creation","334","73.93","0.16","8.10","Beginner"
"Tableau AI","Learning","322","73.91","0.15","9.98","Beginner"
"ElevenLabs","Research","353","73.90","0.17","8.76","Intermediate"
"Stable Diffusion","Data Analysis","344","73.60","0.16","9.78","Beginner"
"Grok","Data Analysis","354","73.60","0.17","10.60","Intermediate"
"Grok","Coding","380","73.56","0.18","9.72","Intermediate"
"Runway ML","Automation","380","73.49","0.18","9.54","Intermediate"
"GPT-4","Automation","373","73.44","0.18","8.93","Intermediate"
"Perplexity AI","Translation","382","73.32","0.18","9.87","Intermediate"
"Copy.ai","Learning","406","73.30","0.19","10.73","Intermediate"
"Microsoft Copilot","Data Analysis","340","73.24","0.16","8.76","Beginner"
"Codeium","Customer Support","346","73.13","0.16","7.95","Beginner"
"GrammarlyGO","Translation","415","73.06","0.20","9.58","Intermediate"
"Cohere","Translation","352","73.05","0.17","9.47","Intermediate"
"Duolingo Max","Translation","362","72.92","0.17","9.95","Intermediate"
"Qwen","Translation","347","72.92","0.16","8.93","Beginner"
"Grok","Research","385","72.84","0.18","9.97","Intermediate"
"Cursor AI","Coding","384","72.82","0.18","9.09","Intermediate"
"GitHub Copilot","Coding","369","72.77","0.17","10.04","Intermediate"
"Jasper","Content Writing","359","72.61","0.17","10.32","Intermediate"
"Figma AI","Design","380","72.45","0.18","9.81","Intermediate"
"DALL-E","Translation","340","72.25","0.16","8.83","Beginner"
"DataRobot","Marketing","353","71.84","0.16","8.82","Beginner"
"Whisper","Coding","343","71.49","0.16","9.14","Beginner"
"Copy.ai","Marketing","331","71.33","0.15","9.87","Beginner"
"AlphaFold","Coding","365","70.64","0.17","11.03","Intermediate"
"Stable Diffusion","Video Creation","364","70.28","0.16","9.01","Beginner"
"Devin","Marketing","351","69.75","0.16","8.81","Beginner"
